Make,Model,Year,Mileage,Engine size,Fuel type,Transmission,Condition,Drive type,Horsepower,Torque,Acceleration,Body type,Seats,Price,Condition_Original
Toyota,Premio,2018.0,,2000.0,petrol,automatic,4.5,fwd,138.5,174.0,10.5,sedan,5.0,,4.5
Toyota,Land Cruiser Prado,2017.0,,2700.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,5.0,,4.5
Lexus,Nx200T Mini,2017.0,,2000.0,petrol,automatic,4.5,fwd,235.0,350.0,7.7,suv,7.0,,4.5
Mazda,Cx,2017.0,,2000.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,suv,5.0,,4.5
Lexus,Lx600,2023.0,1850.0,3500.0,petrol,automatic,6.0,awd,150.0,200.0,10.0,suv,5.0,,6
Lexus,Lx,2016.0,921.0,5700.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,7.0,,4.5
Lexus,Lx,2016.0,,5700.0,petrol,automatic,4.5,awd,150.0,200.0,10.0,suv,7.0,,4.5
Mazda,Cx,2017.0,82700.0,2500.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,suv,5.0,,4.5
Mazda,Cx,2017.0,13600.0,2500.0,petrol,automatic,4.5,fwd,150.0,200.0,10.0,suv,5.0,,4.5
Porsche,Cayenne,2017.0,86780.0,3600.0,petrol,automatic,4.5,fwd,440.0,575.0,5.2,suv,5.0,,4.5
Porsche,Cayenne,2018.0,68600.0,2900.0,petrol,automatic,4.5,fwd,340.0,450.0,6.2,suv,5.0,,4.5
Lexus,Rx450H,2017.0,,3500.0,petrol hybrid,automatic,4.5,fwd,308.0,335.0,7.7,suv,5.0,,4.5
