id,model_name,make_name,vehicle_type,name,price,body_type,source,current_location,drive,mileage,color,annual_insurance,year_of_manufacture,torque,fuel_type,engine_size,horse_power,acceleration,transmission,urban_consumption,highway_consumption,availability,purchase_status,condition
3465,Note,Nissan,Automobile,Nissan Note DIG-S,1099999,Hatchback,Foreign Used,"Nairobi, Kenya.",2WD,86000,,45000,2016,147,Petrol,1200,97,11,Automatic,16,18,available,Available,Very Good
3461,Cx5,Mazda,Automobile,Mazda CX-5 2.2D AWD,3199999,SUV,Foreign Used,"Nairobi, Kenya.",AWD,139000,,135000,2017,418,Diesel,2200,173,8.3,Automatic,12,14,available,Available,Very Good
3460,208,Peugeot,Automobile,Peugeot 208,1419999,Hatchback,Foreign Used,"Nairobi, Kenya.",2WD,94000,,58500,2018,230,Petrol,1200,128,10,Automatic,16,18,available,Available,Very Good
3457,DAYZ,Nissan,Automobile,Nissan DAYZ,849999,Van,Foreign Used,"Nairobi, Kenya.",2WD,114000,,36000,2016,56,Petrol,660,46,12,Automatic,22,24,available,Available,Very Good
3456,DAYZ,Nissan,Automobile,Nissan DAYZ,799999,Van,Foreign Used,"Nairobi, Kenya.",2WD,107000,,36000,2016,56,Petrol,660,46,12,Automatic,22,24,available,Available,Very Good
3438,Grand cherokee,Jeep,Automobile,Jeep Grand Cherokee 3.6 LIMITED 4×4 / PANORAMIC SUNROOF,5999999,SUV,Foreign Used,"Nairobi, Kenya.",4WD,75000,,270000,2017,394,Petrol,3600,286,8,Automatic,8,10,available,Available,Very Good
3437,Legacy,Subaru,Automobile,Subaru Legacy B4,2249999,Saloon,Foreign Used,"Nairobi, Kenya.",AWD,82000,,99000,2016,236,Petrol,2500,172,8,Automatic,10,12,available,Available,Very Good
3436,RVR,Mitsubishi,Automobile,Mitsubishi RVR,1299999,SUV,Kenyan Used,"Nairobi, Kenya.",2WD,155000,,45000,2011,172,Petrol,1800,137,10,Automatic,11,13,sell_on_behalf,Available,Very Good
3434,X6,Bmw,Automobile,BMW X6 XDrive M50d 'N57' Tri-Turbo,3499999,SUV,Kenyan Used,"Nairobi, Kenya.",AWD,177000,,148500,2013,740,Diesel,3000,375,5.8,Automatic,9,11,sell_on_behalf,Available,Very Good
3432,Legacy,Subaru,Automobile,Subaru Legacy,1049999,Station Wagon,Kenyan Used,"Nairobi, Kenya.",AWD,172000,,45000,2010,235,Petrol,2500,173,9,Automatic,10,12,sell_on_behalf,Available,Very Good
3430,X3,Bmw,Automobile,BMW X3 XDrive 25i,1799999,SUV,Kenyan Used,"Nairobi, Kenya.",AWD,120000,,67500,2010,250,Petrol,2500,215,8.9,Automatic,9,11,sell_on_behalf,Available,Very Good
3429,Fielder,Toyota,Automobile,"Toyota Fielder ""S"" AeroTourer",1349999,Station Wagon,Kenyan Used,"Nairobi, Kenya.",2WD,154000,,54000,2012,164,Petrol,1800,131,10,Automatic,11,13,sell_on_behalf,Available,Very Good
3428,Lutecia,Renault,Automobile,Renault KADJAR,2499999,SUV,Kenyan Used,"Nairobi, Kenya.",2WD,26000,,103500,2016,205,Petrol,1200,129,10,Automatic,16,18,sell_on_behalf,Available,Very Good
3425,Landcruiser,Toyota,Automobile,Toyota Landcruiser Prado TX,3499999,SUV,Kenyan Used,"Nairobi, Kenya.",4WD,135000,,135000,2013,270,Petrol,2700,167,10,Automatic,10,11,sell_on_behalf,Available,Very Good
3422,Cayenne,Porsche,Automobile,Porsche Cayenne 3.0 V6 'Typ 92A',6999999,SUV,Foreign Used,"Nairobi, Kenya.",AWD,132000,,315000,2016,580,Diesel,3000,258,5.4,Automatic,9,11,available,Available,Very Good
3420,V40,Volvo,Automobile,Volvo V40 T5 R-Design,2699999,Hatchback,Foreign Used,"Nairobi, Kenya.",2WD,106000,,121500,2017,360,Petrol,2500,246,6,Automatic,11,13,available,Available,Very Good
3416,Golf GTI,Volkswagen,Automobile,Volkswagen Golf GTI MK7.5 / SUNROOF,3699999,Hatchback,Foreign Used,High seas,2WD,148000,,157500,2018,350,Petrol,2000,227,5,Automatic,11,13,available,Available,Excellent
3415,Golf GTI,Volkswagen,Automobile,Volkswagen Golf GTI MK7 / SUNROOF,3249999,Hatchback,Foreign Used,High seas,2WD,77000,,135000,2017,350,Petrol,2000,220,5,Automatic,11,13,available,Available,Excellent
3414,A4,Audi,Automobile,Audi A4 B9 QUATTRO ALLROAD SPEC,4499999,Station Wagon,Foreign Used,"Nairobi, Kenya.",AWD,148000,,180000,2017,330,Petrol,2000,220,7,Automatic,11,13,available,Available,Very Good
3409,Up,Volkswagen,Automobile,Volkswagen UP!,1599999,Hatchback,Foreign Used,"Nairobi, Kenya.",2WD,29000,,67500,2016,165,Petrol,1000,101,9.1,Automatic,20,23,sell_on_behalf,Available,Very Good
3407,A5,Audi,Automobile,Audi A5,2299999,Saloon,Kenyan Used,"Nairobi, Kenya.",AWD,76000,,90000,2013,350,Petrol,2000,208,8,Automatic,11,13,sell_on_behalf,Available,Very Good
3404,V60,Volvo,Automobile,Volvo V60 D4 R-Design,2599999,Station Wagon,Foreign Used,"Nairobi, Kenya.",2WD,106000,,112500,2016,400,Diesel,2000,187,7,Automatic,12,14,sell_on_behalf,Available,Very Good
