Title,Make,Model,Year,Price (Ksh),Fuel Type,Position,Usage,Status,Stock ID,Image URL,Car Link
Peugeot 2008 - 2017,Peugeot,2008,N/A,"KSh2,049,999",Petrol,N/A,foreign,Unsold,E107-1061,https://www.maridadymotors.com/assets/images/sell_car/0aaaa967f9185884af613d5da160154e.jpg,https://www.maridadymotors.com/car-details/2/peugeot-1007-2017-8865
Mitsubishi mirage - 2017,Mitsubishi,mirage,N/A,"KSh1,229,999",Petrol,N/A,foreign,Unsold,E107-1060,https://www.maridadymotors.com/assets/images/sell_car/a459978ee9e29f96c4707612ff305be2.jpg,https://www.maridadymotors.com/car-details/2/mitsubishi-aero-midi-2017-8864
Mitsubishi mirage - 2017,Mitsubishi,mirage,N/A,"KSh1,200,000",Petrol,N/A,foreign,Unsold,E107-1059,https://www.maridadymotors.com/assets/images/sell_car/9b8b5921d432c8429730644ac95abfca.jpg,https://www.maridadymotors.com/car-details/2/mitsubishi-aero-midi-2017-8863
Nissan Serena - 2017,Nissan,Serena,N/A,"KSh1,849,999",Petrol,N/A,foreign,Unsold,E107-1058,https://www.maridadymotors.com/assets/images/sell_car/18eab8dbe6d13a913f40c2ffee1f4ea0.jpg,https://www.maridadymotors.com/car-details/2/nissan-xtrail-2017-8862
Nissan Serena - 2017,Nissan,Serena,N/A,"KSh1,899,999",Petrol,N/A,foreign,Unsold,E107-1057,https://www.maridadymotors.com/assets/images/sell_car/eecba55b31587d338382580ba26bed44.jpg,https://www.maridadymotors.com/car-details/2/nissan-xtrail-2017-8861
Subaru forester - 2017,Subaru,forester,N/A,"KSh3,450,000",Petrol,N/A,foreign,Unsold,E107-1056,https://www.maridadymotors.com/assets/images/sell_car/4540b7654bd0d2d70cf8a81842338151.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2017-8860
Mazda cx-5 - 2017,Mazda,cx-5,N/A,"KSh3,500,000",Diesel,N/A,foreign,Unsold,E107-1055,https://www.maridadymotors.com/assets/images/sell_car/cb64b1c1d5709dcca99d16288cbd5aff.jpg,https://www.maridadymotors.com/car-details/2/mazda-atenza-2017-8859
Audi Q5 - 2016,Audi,Q5,N/A,"KSh4,600,000",Petrol,N/A,foreign,Unsold,E107-1054,https://www.maridadymotors.com/assets/images/sell_car/5d2d9aa8bf0a4d3e5c2215abe67638a0.jpg,https://www.maridadymotors.com/car-details/2/audi-a3-2016-8858
Audi Q7 - 2017,Audi,Q7,N/A,"KSh4,650,000",Petrol,N/A,foreign,Unsold,E107-1053,https://www.maridadymotors.com/assets/images/sell_car/aab1d3775703db0982975af8b0bcdcfb.jpg,https://www.maridadymotors.com/car-details/2/audi-a3-2017-8857
Toyota harrier - 2017,Toyota,harrier,N/A,"KSh3,799,999",Petrol,N/A,foreign,Unsold,E107-1052,https://www.maridadymotors.com/assets/images/sell_car/18946a780822214944502f428c5b7d7d.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8856
Volkswagen touareg - 2012,Volkswagen,touareg,N/A,"KSh3,500,000",Diesel,N/A,foreign,Unsold,E107-1051,https://www.maridadymotors.com/assets/images/sell_car/09bff568f8591288ab7e104ba5b7f765.jpg,https://www.maridadymotors.com/car-details/2/volkswagen-beetle-2012-8855
Subaru outback - 2017,Subaru,outback,N/A,"KSh3,300,000",Petrol,N/A,foreign,Unsold,E107-1050,https://www.maridadymotors.com/assets/images/sell_car/daaa451e5bc106f08180b51baeac0304.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2017-8854
Toyota harrier - 2018,Toyota,harrier,N/A,"KSh4,049,999",Petrol,N/A,foreign,Unsold,E107-1049,https://www.maridadymotors.com/assets/images/sell_car/930b53e6e227d1d7eadeb9e78e956281.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2018-8853
Toyota sienta - 2017,Toyota,sienta,N/A,"KSh1,749,999",Petrol,N/A,foreign,Unsold,E107-1048,https://www.maridadymotors.com/assets/images/sell_car/4785b36dbd83e5e174e52fec2fe8c450.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8852
Toyota land cruiser prado - 2020,Toyota,land cruiser prado,N/A,"KSh4,140,000",Petrol,N/A,foreign,Unsold,E107-1004,https://www.maridadymotors.com/assets/images/sell_car/ead6344c65c63ab269bcf6e7577721d0.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2020-8807
Toyota land cruiser prado - 2021,Toyota,land cruiser prado,N/A,"KSh9,800,000",Diesel,N/A,foreign,Unsold,E107-1047,https://www.maridadymotors.com/assets/images/sell_car/00c349c0c4c2922d66e45d66181c2baf.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2021-8851
Mitsubishi RVR - 2017,Mitsubishi,RVR,N/A,"KSh2,899,999",Petrol,N/A,foreign,Unsold,E107-1046,https://www.maridadymotors.com/assets/images/sell_car/a2280a387714f253aaefaa840d9ae3f8.jpg,https://www.maridadymotors.com/car-details/2/mitsubishi-aero-midi-2017-8850
Volkswagen tiguan - 2017,Volkswagen,tiguan,N/A,"KSh4,650,000",Petrol,N/A,foreign,Unsold,E107-1045,https://www.maridadymotors.com/assets/images/sell_car/28e00d7bdc293256923b7f23e049a307.jpg,https://www.maridadymotors.com/car-details/2/volkswagen-beetle-2017-8849
Nissan Serena - 2017,Nissan,Serena,N/A,"KSh1,849,999",Petrol,N/A,foreign,Unsold,E107-1044,https://www.maridadymotors.com/assets/images/sell_car/a63fa16d9deac56ce3f9e1c520a53564.jpg,https://www.maridadymotors.com/car-details/2/nissan-xtrail-2017-8848
Subaru forester - 2019,Subaru,forester,N/A,"KSh1,699,999",Petrol,N/A,foreign,Unsold,E107-1027,https://www.maridadymotors.com/assets/images/sell_car/a5ee8d779a6d69b2bba26e8a4460816d.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2019-8831
Nissan Xtrail - 2017,Nissan,Xtrail,N/A,"KSh2,629,999",Petrol,N/A,foreign,Unsold,E107-1043,https://www.maridadymotors.com/assets/images/sell_car/edc4c29a647a1357b7b104bf91d48888.jpg,https://www.maridadymotors.com/car-details/2/nissan-xtrail-2017-8847
Honda Fit - 2017,Honda,Fit,N/A,"KSh1,589,999",Hybrid,N/A,foreign,Unsold,E107-1042,https://www.maridadymotors.com/assets/images/sell_car/11704717fbf09cb01a5dd0a610b4100e.jpg,https://www.maridadymotors.com/car-details/2/honda-accord-2017-8846
Land Rover Discovery Sport - 2020,Land,Rover Discovery Sport,N/A,"KSh6,899,999",Diesel,N/A,foreign,Unsold,E107-1041,https://www.maridadymotors.com/assets/images/sell_car/36b68553d9826f7d3f6227ce5df1363f.jpg,https://www.maridadymotors.com/car-details/2/land-rover-defender-2020-8845
Toyota hilux - 2016,Toyota,hilux,N/A,"KSh4,400,000",Diesel,N/A,foreign,Unsold,E107-1040,https://www.maridadymotors.com/assets/images/sell_car/b4c2ae3d9f8bee8d9e1a540553ae8c0d.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2016-8844
Toyota land cruiser - 2020,Toyota,land cruiser,N/A,"KSh5,589,999",Petrol,N/A,foreign,Unsold,E107-1039,https://www.maridadymotors.com/assets/images/sell_car/1acb5afe6cf008726c62f35f51944a72.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2020-8843
Toyota land cruiser - 2022,Toyota,land cruiser,N/A,"KSh8,125,000",Petrol,N/A,foreign,Unsold,E107-1038,https://www.maridadymotors.com/assets/images/sell_car/f3bf63caf4a65c2425173281929c36ca.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2022-8842
Toyota hilux - 2022,Toyota,hilux,N/A,"KSh4,030,000",Diesel,N/A,foreign,Unsold,E107-1037,https://www.maridadymotors.com/assets/images/sell_car/c2b434b5742da0691c98ef4ba9f3c1c2.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2022-8841
Toyota hilux - 2021,Toyota,hilux,N/A,"KSh3,899,999",Diesel,N/A,foreign,Unsold,E107-1036,https://www.maridadymotors.com/assets/images/sell_car/0c6e684067304f9272dfda34352c2ae6.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2021-8840
Toyota hilux - 2023,Toyota,hilux,N/A,"KSh4,700,000",Diesel,N/A,foreign,Unsold,E107-1035,https://www.maridadymotors.com/assets/images/sell_car/a90067725624a63c3b9a2e00f7ac4e4d.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2023-8839
Toyota hiace van - 2018,Toyota,hiace van,N/A,"KSh2,100,000",Petrol,N/A,foreign,Unsold,E107-1034,https://www.maridadymotors.com/assets/images/sell_car/05fc006210fad512067fdc079ec3db5c.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2018-8838
Toyota hiace - 2018,Toyota,hiace,N/A,"KSh1,699,999",Petrol,N/A,foreign,Unsold,E107-1033,https://www.maridadymotors.com/assets/images/sell_car/ad36791a6484020b5d26ee1e00381514.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2018-8837
Toyota harrier - 2021,Toyota,harrier,N/A,"KSh3,450,000",Petrol,N/A,foreign,Unsold,E107-1032,https://www.maridadymotors.com/assets/images/sell_car/0aed3cb2243abbe8d156afc0a2472692.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2021-8836
Subaru forester - 2018,Subaru,forester,N/A,"KSh1,699,999",Petrol,N/A,foreign,Unsold,E107-1031,https://www.maridadymotors.com/assets/images/sell_car/50e5a48689e84010f91f39566b55e7e6.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2018-8835
Subaru forester - 2018,Subaru,forester,N/A,"KSh2,200,000",Petrol,N/A,foreign,Unsold,E107-1030,https://www.maridadymotors.com/assets/images/sell_car/c32cc7b1208fc76d1e4a0e287262e336.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2018-8834
Subaru forester - 2019,Subaru,forester,N/A,"KSh1,799,999",Petrol,N/A,foreign,Unsold,E107-1029,https://www.maridadymotors.com/assets/images/sell_car/f6a5e762deb13a70aa45d1aca8de877e.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2019-8833
Subaru forester - 2020,Subaru,forester,N/A,"KSh1,500,000",Petrol,N/A,foreign,Unsold,E107-1028,https://www.maridadymotors.com/assets/images/sell_car/c41b2d89b52309473d9b604d8f639295.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2020-8832
Mazda cx-5 - 2018,Mazda,cx-5,N/A,"KSh1,599,999",Diesel,N/A,foreign,Unsold,E107-1022,https://www.maridadymotors.com/assets/images/sell_car/c60ce1586624ec6f75b5635a45af77a5.jpg,https://www.maridadymotors.com/car-details/2/mazda-atenza-2018-8826
Subaru forester - 2019,Subaru,forester,N/A,"KSh1,799,999",Petrol,N/A,foreign,Unsold,E107-1026,https://www.maridadymotors.com/assets/images/sell_car/f7eab431cd17514aebc5491515cb3dca.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2019-8830
Nissan Xtrail - 2018,Nissan,Xtrail,N/A,"KSh1,599,999",Petrol,N/A,foreign,Unsold,E107-1025,https://www.maridadymotors.com/assets/images/sell_car/2b155187805adac387d29e46fbf706b4.jpg,https://www.maridadymotors.com/car-details/2/nissan-xtrail-2018-8829
Nissan Xtrail - 2018,Nissan,Xtrail,N/A,"KSh1,699,999",Petrol,N/A,foreign,Unsold,E107-1024,https://www.maridadymotors.com/assets/images/sell_car/0415ecf5e3bad6f5232864556545da1f.jpg,https://www.maridadymotors.com/car-details/2/nissan-xtrail-2018-8828
Nissan Xtrail - 2018,Nissan,Xtrail,N/A,"KSh1,999,999",Petrol,N/A,foreign,Unsold,E107-1023,https://www.maridadymotors.com/assets/images/sell_car/7a93f11634d24575df367199f0c801b1.jpg,https://www.maridadymotors.com/car-details/2/nissan-xtrail-2018-8827
Mazda cx-5 - 2018,Mazda,cx-5,N/A,"KSh1,749,999",Diesel,N/A,foreign,Unsold,E107-1021,https://www.maridadymotors.com/assets/images/sell_car/9af6f308557d5cb4dbfd685d4fa742c6.jpg,https://www.maridadymotors.com/car-details/2/mazda-atenza-2018-8825
Mazda cx-5 - 2018,Mazda,cx-5,N/A,"KSh1,799,999",Diesel,N/A,foreign,Unsold,E107-1020,https://www.maridadymotors.com/assets/images/sell_car/b6093553237ad65ba65c6651080d8095.jpg,https://www.maridadymotors.com/car-details/2/mazda-atenza-2018-8824
Toyota velfire - 2017,Toyota,velfire,N/A,"KSh3,899,999",Petrol,N/A,foreign,Sold,E107-943,https://www.maridadymotors.com/assets/images/sell_car/28663de5ed998f33152743fe5496dc55.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8745
Toyota velfire - 2017,Toyota,velfire,N/A,"KSh3,899,999",Petrol,N/A,foreign,Unsold,E107-1007,https://www.maridadymotors.com/assets/images/sell_car/6116393c45994c1ba83ea8baf31cc02a.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8811
Subaru levorg - 2017,Subaru,levorg,N/A,"KSh2,300,000",Petrol,N/A,foreign,Unsold,E107-1019,https://www.maridadymotors.com/assets/images/sell_car/9c187cd89038523611c0e85b265ccbd1.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2017-8823
Subaru outback - 2017,Subaru,outback,N/A,"KSh3,300,000",Petrol,N/A,foreign,Unsold,E107-1018,https://www.maridadymotors.com/assets/images/sell_car/6052f4297276873594003ab6052fa02b.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2017-8822
Honda VEZEL - 2017,Honda,VEZEL,N/A,"KSh2,649,999",Hybrid,N/A,foreign,Unsold,E107-1017,https://www.maridadymotors.com/assets/images/sell_car/a9b86e5d5edbf8d34edfb972650f1992.jpg,https://www.maridadymotors.com/car-details/2/honda-accord-2017-8821
Toyota land cruiser prado - 2018,Toyota,land cruiser prado,N/A,"KSh7,999,999",Diesel,N/A,foreign,Unsold,E107-1016,https://www.maridadymotors.com/assets/images/sell_car/bdc620293e68d2e93bb0c56a9aa8a726.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2018-8820
Nissan Note - 2017,Nissan,Note,N/A,"KSh1,350,000",Petrol,N/A,foreign,Unsold,E107-1015,https://www.maridadymotors.com/assets/images/sell_car/2d41e204f48e6d394aa3c5c0b44aa70e.jpg,https://www.maridadymotors.com/car-details/2/nissan-xtrail-2017-8819
Toyota Axio - 2017,Toyota,Axio,N/A,"KSh1,830,000",Petrol,N/A,foreign,Unsold,E107-1014,https://www.maridadymotors.com/assets/images/sell_car/513acf15ee4e31fd85012445043ee7d9.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8818
Honda VEZEL - 2017,Honda,VEZEL,N/A,"KSh2,749,999",Petrol,N/A,foreign,Unsold,E107-1013,https://www.maridadymotors.com/assets/images/sell_car/9279a2cb87afa32da54ad792dfb012f0.jpg,https://www.maridadymotors.com/car-details/2/honda-accord-2017-8817
Volvo xc90 - 2017,Volvo,xc90,N/A,"KSh6,899,999",Petrol,N/A,foreign,Unsold,E107-1012,https://www.maridadymotors.com/assets/images/sell_car/dab629c1565070d4683028d2e63c319a.jpg,https://www.maridadymotors.com/car-details/2/volvo-240-2017-8816
Subaru XV - 2017,Subaru,XV,N/A,"KSh2,600,000",Petrol,N/A,foreign,Unsold,E107-1011,https://www.maridadymotors.com/assets/images/sell_car/ce3a30668a4d9825383ac99baf8d6fa1.jpg,https://www.maridadymotors.com/car-details/2/subaru-360-2017-8815
Toyota voxy - 2017,Toyota,voxy,N/A,"KSh2,649,999",Petrol,N/A,foreign,Unsold,E107-1010,https://www.maridadymotors.com/assets/images/sell_car/cdb1b00d340b9fe9b8ec3057cf43143f.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8814
Volkswagen touareg - 2012,Volkswagen,touareg,N/A,"KSh3,200,000",Diesel,N/A,foreign,Unsold,E107-1009,https://www.maridadymotors.com/assets/images/sell_car/2dda49441937bf30cb18161413707330.jpg,https://www.maridadymotors.com/car-details/2/volkswagen-beetle-2012-8813
Mitsubishi Outlander - 2017,Mitsubishi,Outlander,N/A,"KSh3,550,000",Petrol,N/A,foreign,Unsold,E107-1008,https://www.maridadymotors.com/assets/images/sell_car/dc083a93dfa4aa4da2ae32b4bcadf978.jpg,https://www.maridadymotors.com/car-details/2/mitsubishi-aero-midi-2017-8812
Mitsubishi Outlander - 2016,Mitsubishi,Outlander,N/A,"KSh3,200,000",Hybrid,N/A,foreign,Unsold,E107-1006,https://www.maridadymotors.com/assets/images/sell_car/ccf8260c2c5dce27d4c9b1d74517044b.jpg,https://www.maridadymotors.com/car-details/2/mitsubishi-aero-midi-2016-8810
