Title,Make,Model,Year,Price (Ksh),Fuel Type,Position,Usage,Status,Stock ID,Image URL,Car Link
Toyota land cruiser prado - 2018,Toyota,land cruiser prado,N/A,"KSh7,999,999",Diesel,N/A,foreign,Unsold,E107-994,https://www.maridadymotors.com/assets/images/sell_car/00b48306503a75994dfee881d9cf0cf8.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2018-8797
Mitsubishi Outlander - 2017,Mitsubishi,Outlander,N/A,"KSh3,699,999",Petrol,N/A,foreign,Unsold,E107-993,https://www.maridadymotors.com/assets/images/sell_car/28798cea9bc4d73ad644025c3d3c7c60.jpg,https://www.maridadymotors.com/car-details/2/mitsubishi-aero-midi-2017-8796
Honda Shuttle - 2017,Honda,Shuttle,N/A,"KSh1,799,999",Hybrid,N/A,foreign,Unsold,E107-992,https://www.maridadymotors.com/assets/images/sell_car/3bfc049e35b193bc51f57650d7b09996.jpg,https://www.maridadymotors.com/car-details/2/honda-accord-2017-8795
Lexus 200T - 2017,Lexus,200T,N/A,"KSh6,500,000",Petrol,N/A,foreign,Unsold,E107-991,https://www.maridadymotors.com/assets/images/sell_car/6bbd697e9ae5087b48197918526cee65.jpg,https://www.maridadymotors.com/car-details/2/lexus-3200gtlxv-2017-8794
Volvo v60 - 2016,Volvo,v60,N/A,"KSh2,350,000",Diesel,N/A,foreign,Unsold,E107-990,https://www.maridadymotors.com/assets/images/sell_car/ea9f7d2ff1a4b14b49d432179ded7fb0.jpg,https://www.maridadymotors.com/car-details/2/volvo-240-2016-8793
Toyota land cruiser prado - 2019,Toyota,land cruiser prado,N/A,"KSh6,999,999",Diesel,N/A,foreign,Unsold,E107-989,https://www.maridadymotors.com/assets/images/sell_car/15b97d6e7c3f7d907d4e84c1523c4d54.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2019-8792
Toyota land cruiser prado - 2017,Toyota,land cruiser prado,N/A,"KSh6,300,000",Petrol,N/A,foreign,Unsold,E107-988,https://www.maridadymotors.com/assets/images/sell_car/23f928e42fabaac6a143d7e06b2dc72b.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8791
Toyota rav4 - 2019,Toyota,rav4,N/A,"KSh4,899,999",Petrol,N/A,foreign,Unsold,E107-987,https://www.maridadymotors.com/assets/images/sell_car/3b89a889eeb5e7949f3504e364a6455d.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2019-8790
Toyota voxy - 2017,Toyota,voxy,N/A,"KSh2,500,000",Petrol,N/A,foreign,Unsold,E107-986,https://www.maridadymotors.com/assets/images/sell_car/9dc8d64241ac6985ba1377301b724f9b.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8789
Toyota harrier - 2017,Toyota,harrier,N/A,"KSh3,600,000",Petrol,N/A,foreign,Unsold,E107-985,https://www.maridadymotors.com/assets/images/sell_car/ac2d765deed624b09458fed5493ea407.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8788
Honda VEZEL - 2017,Honda,VEZEL,N/A,"KSh2,749,999",Petrol,N/A,foreign,Unsold,E107-984,https://www.maridadymotors.com/assets/images/sell_car/0bdbe15904bd64a020367f2eafb7d86e.jpg,https://www.maridadymotors.com/car-details/2/honda-accord-2017-8787
Mazda cx-5 - 2016,Mazda,cx-5,N/A,"KSh2,799,999",Petrol,N/A,foreign,Unsold,E107-983,https://www.maridadymotors.com/assets/images/sell_car/20d20180fd05195d82a80d8160ed00a7.jpg,https://www.maridadymotors.com/car-details/2/mazda-atenza-2016-8786
Mazda cx-5 - 2017,Mazda,cx-5,N/A,"KSh3,500,000",Diesel,N/A,foreign,Unsold,E107-982,https://www.maridadymotors.com/assets/images/sell_car/6825736e3165affc0e4d962965a3b8df.jpg,https://www.maridadymotors.com/car-details/2/mazda-atenza-2017-8785
Mazda cx-5 - 2017,Mazda,cx-5,N/A,"KSh3,550,000",Diesel,N/A,foreign,Unsold,E107-981,https://www.maridadymotors.com/assets/images/sell_car/89769492f0d89d86bc222a4fde51dddc.jpg,https://www.maridadymotors.com/car-details/2/mazda-atenza-2017-8784
Nissan Xtrail - 2016,Nissan,Xtrail,N/A,"KSh2,849,999",Petrol,N/A,foreign,Unsold,E107-980,https://www.maridadymotors.com/assets/images/sell_car/3a4b025016287c884c8f2caec9f47ea7.jpg,https://www.maridadymotors.com/car-details/2/nissan-xtrail-2016-8783
Toyota noah - 2017,Toyota,noah,N/A,"KSh2,699,999",Petrol,N/A,foreign,Unsold,E107-979,https://www.maridadymotors.com/assets/images/sell_car/9767bbe4b54c596e2a44792cbbd935a0.jpg,https://www.maridadymotors.com/car-details/2/toyota-a1-2017-8782
Audi Q5 - 2017,Audi,Q5,N/A,"KSh4,650,000",Petrol,N/A,foreign,Sold,E107-856,https://www.maridadymotors.com/assets/images/sell_car/7bb7c8bcb5f7586cde0c2262d9f5cd8c.jpg,https://www.maridadymotors.com/car-details/2/audi-a3-2017-8658
