Make,Model,Year,Mileage,Engine size,Fuel type,Transmission,Condition,Drive type,Horsepower,Torque,Acceleration,Body type,Seats,Price
Mercedes,Glc,2017,,2200 cc,Diesel,Automatic,4.5,2WD,,,,,,
Lexus,Lx600,2022,4100 Km,3500 cc,Petrol,Automatic,5,4WD,,,,,,
Toyota,Land Cruiser,2017,,4700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Premio,2017,,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Premio,2018,,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Land Cruiser Prado,2017,,2700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Lexus,Nx200T Mini,2017,,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Mazda,Cx,2017,,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Lexus,Lx600,2023,1850 Km,3500 cc,Petrol,Automatic,6,4WD,,,,,,
Lexus,Lx,2016,921 Km,5700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Lexus,Lx,2016,,5700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Mazda,Cx,2017,82700 Km,2500 cc,Petrol,Automatic,4.5,2WD,,,,,,
Mazda,Cx,2017,13600 Km,2500 cc,Petrol,Automatic,4.5,2WD,,,,,,
Porsche,Cayenne,2017,86780 Km,3600 cc,Petrol,Automatic,4.5,2WD,,,,,,
Porsche,Cayenne,2018,68600 Km,2900 cc,Petrol,Automatic,4.5,2WD,,,,,,
Lexus,Rx450H,2017,,3500 cc,Petrol Hybrid,Automatic,4.5,2WD,,,,,,
Toyota,4Runner,2017,125850 Km,1800 cc,Petrol Hybrid,Automatic,4.5,2WD,,,,,,
Subaru,Outback,2017,33300 Km,2500 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,4Runner,2017,45500 Km,2500 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Hilux Pickups,2018,65620 Km,2400 cc,Diesel,Automatic,4.5,2WD,,,,,,
Toyota,Hilux Pickups,2017,,2400 cc,Diesel,Automatic,4.5,2WD,,,,,,
Toyota,Hilux Pickups,2017,59800 Km,2400 cc,Diesel,Automatic,4.5,2WD,,,,,,
Nissan,Xtrail Mini,2017,79700 Km,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Hilux Pickups,2018,30755 Km,2400 cc,Diesel,Automatic,4.5,4WD,,,,,,
Nissan,Xtrail Mini,2017,42450 Km,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Volkswagen,Golf Coupe,2017,,1400 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Esquire,2017,134400 Km,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Land Cruiser,2023,8475 Km,3300 cc,Diesel,Automatic,6,4WD,,,,,,
Lexus,Lx500D,2022,8425 Km,3300 cc,Diesel,Automatic,6,4WD,,,,,,
Toyota,Land Cruiser,2018,10000 Km,4600 cc,Petrol,Automatic,5,4WD,,,,,,
Nissan,Xtrail Mini,2017,,2000 cc,Petrol Hybrid,Automatic,4.5,4WD,,,,,,
Lexus,Lx,2017,61298 Km,5700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Lexus,Lx,2017,4000 Km,5700 cc,Petrol,Automatic,5,4WD,,,,,,
Bmw,X6 Mini,2017,49428 Km,3000 cc,Petrol,Automatic,4.5,4WD,,,,,,
Honda,Cr V Mini,2015,56675 Km,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Nissan,Xtrail Mini,2017,67720 Km,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Hilux Pickups,2017,49608 Km,2400 cc,Diesel,Automatic,4.5,2WD,,,,,,
Volkswagen,Tiguan Mini,2017,45952 Km,1400 cc,Petrol,Automatic,4.5,2WD,,,,,,
Bmw,X6,2017,10873 Km,3000 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser Prado,2017,60858 Km,2700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Mazda,Axela,2017,97000kms Km,1500 cc,Petrol,Automatic,4.5,FWD,,,,,,
Toyota,Harrier Mini,2017,63850 Km,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Hilux Pickups,2018,8000-kms Km,2400 cc,Diesel,Automatic,4.5,2WD,,,,,,
Land,Rover Range Rover Vogue Mini,2017,89000kms Km,3000 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser Prado,2017,66000kms Km,2800 cc,Diesel,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser Prado,2017,89000kms Km,2700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Porsche,Cayenne,2018,115000kms Km,3000 cc,Petrol,Automatic,4.5,4WD,,,,,,
Lexus,Lx,2018,40000kms Km,5600 cc,Petrol,Automatic,4.5,4WD,,,,,,
Subaru,Forester Mini,2016,46030 Km,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Land Cruiser Prado,2017,31000kms Km,,Petrol,Automatic,4.5,4WD,,,,,,
Porsche,Cayenne S Mini,2018,22808 Km,3000 cc,Petrol,Automatic,4.5,AWD,,,,,,
Range,Rover Vogue,2018,7312 Km,3000 cc,Petrol,Automatic,4.5,4WD,,,,,,
Range,Rover Vogue,2022,3550 Km,3000 cc,Diesel,Automatic,5,4WD,,,,,,
Toyota,Land Cruiser Prado,2018,33000km Km,2800 cc,Diesel,Automatic,4.5,4WD,,,,,,
Porsche,Cayenne Mini,2018,39000-kms Km,3600 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser,2021,18700km Km,3300 cc,Diesel,Automatic,4.5,4WD,,,,,,
Toyota,Rav,2019,44000kms Km,2000 cc,Petrol,Automatic,4.5,4WD,,,,,,
Land,Rover Range Rover Velar Mini,2017,125000kms Km,3000 cc,Diesel,Automatic,4.5,4WD,,,,,,
Porsche,Cayenne Mini,2019,8700kms Km,3000 cc,Petrol,Automatic,4.5,AWD,,,,,,
Mercedes,S550 Mini,2017,128000 Km,4700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser Prado,2017,48000kms Km,2700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser,2021,257kms Km,3300 cc,Diesel,Automatic,4.5,4WD,,,,,,
Mercedes,Nan,2022,7300 Km,2000 cc,Diesel,Automatic,5,2WD,,,,,,
Mercedes,V220,2023,2500 Km,2000 cc,Diesel,Automatic,5,2WD,,,,,,
Toyota,Aqua,2017,57000kms Km,1500 cc,Petrol Hybrid,Automatic,4.5,2WD,,,,,,
Toyota,Hilux Pickups,2018,36800 Km,2400 cc,Diesel,Automatic,4.5,2WD,,,,,,
Toyota,Hilux Pickups,2018,54300 Km,2400 cc,Diesel,Automatic,4.5,2WD,,,,,,
Toyota,Hilux Pickups,2017,49000kms Km,2400 cc,Diesel,Automatic,4.5,4WD,,,,,,
Toyota,Hilux Pickups,2018,62000kms Km,2400 cc,Diesel,Automatic,4.5,2WD,,,,,,
Mazda,Atenza,2017,82000kms Km,2200 cc,Diesel,Automatic,4.5,2WD,,,,,,
Lexus,Lx600,2022,4200 Km,3500 cc,Petrol,Automatic,,,,,,,,
Lexus,Rx300 Mini,2017,32224 Km,3000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Probox,2017,105000kms Km,1500 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Probox,2017,85000kms Km,1500 cc,Petrol,Automatic,4.5,2WD,,,,,,
Mazda,Cx,2017,74000kms Km,2200 cc,Diesel,Automatic,4.5,2WD,,,,,,
Lexus,Lx500D,2022,26000kms Km,3300 cc,Diesel,Automatic,4.5,4WD,,,,,,
Toyota,Probox,2017,124000kms Km,1500 cc,Petrol,Automatic,4.5,2WD,,,,,,
Subaru,Outback Mini,2017,34000kms Km,2500 cc,Petrol,Automatic,4.5,AWD,,,,,,
Toyota,Land Cruiser,2023,4800 Km,3500 cc,Petrol,Automatic,5,4WD,,,,,,
Lexus,Lx600,2023,9300 Km,3500 cc,Petrol,Automatic,6,4WD,,,,,,
Toyota,Land Cruiser,2021,9300 Km,3300 cc,Diesel,Automatic,5,4WD,,,,,,
Toyota,Land Cruiser,2021,9600 Km,3300 cc,Diesel,Automatic,6,4WD,,,,,,
Audi,Q3 Mini,2017,50980 Km,1400 cc,Petrol,Automatic,4.5,2WD,,,,,,
Nissan,Xtrail,2017,56000kms Km,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Land Cruiser,2022,10000-kms Km,3500 cc,Petrol,Automatic,5,4WD,,,,,,
Audi,Q7,2017,10000-kms Km,2000 cc,Petrol,Automatic,4.5,2WD,,,,,,
Toyota,Land Cruiser Sahara,2022,26000kms Km,3300 cc,Diesel,Automatic,4.5,4WD,,,,,,
Nissan,Patrol,2024,18-kms Km,5700 cc,Petrol,Automatic,5,4WD,,,,,,
Toyota,Land Cruiser,2021,14000kms Km,3300 cc,Diesel,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser,2017,75000kms Km,4600 cc,Petrol,Automatic,4.5,4WD,,,,,,
Porsche,Cayenne,2018,88500 Km,3000 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Hilux Pickups,2018,8280 Km,2400 cc,Diesel,Automatic,4.5,2WD,,,,,,
Porsche,Cayenne,2018,78983 Km,3000 cc,Petrol,Automatic,4.5,4WD,,,,,,
Toyota,Land Cruiser,2017,128139 Km,4700 cc,Petrol,Automatic,4.5,4WD,,,,,,
Audi,Q7,2016,99500 Km,3000 cc,Petrol,Automatic,4.5,4WD,,,,,,
