mileage,year_of_production,horse_power,engine_size,seats,price_ksh,fuel_type,transmission,car_name,body_type,annual_insurance,condition,source
4100 Km,2022.0,,3500 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
,2017.0,,4700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2018.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,2700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
1850 Km,2023.0,,3500 cc,,,Petrol,Automatic,Unknown,,,6,AutoBox Motors
921 Km,2016.0,,5700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2016.0,,5700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
82700 Km,2017.0,,2500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
13600 Km,2017.0,,2500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
86780 Km,2017.0,,3600 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
68600 Km,2018.0,,2900 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,3500 cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
125850 Km,2017.0,,1800 cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
33300 Km,2017.0,,2500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
45500 Km,2017.0,,2500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
65620 Km,2018.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
59800 Km,2017.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
79700 Km,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
30755 Km,2018.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
42450 Km,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
,2017.0,,1400 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
134400 Km,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
8475 Km,2023.0,,3300 cc,,,Diesel,Automatic,Unknown,,,6,AutoBox Motors
8425 Km,2022.0,,3300 cc,,,Diesel,Automatic,Unknown,,,6,AutoBox Motors
10000 Km,2018.0,,4600 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
,2017.0,,2000 cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
61298 Km,2017.0,,5700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
4000 Km,2017.0,,5700 cc,,,Petrol,Automatic,Unknown,,,5,AutoBox Motors
49428 Km,2017.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
56675 Km,2015.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
67720 Km,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
49608 Km,2017.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
45952 Km,2017.0,,1400 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
10873 Km,2017.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
60858 Km,2017.0,,2700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
97000kms Km,2017.0,,1500 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
63850 Km,2017.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
8000-kms Km,2018.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
89000kms Km,2017.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
66000kms Km,2017.0,,2800 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
89000kms Km,2017.0,,2700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
115000kms Km,2018.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
40000kms Km,2018.0,,5600 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
46030 Km,2016.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
31000kms Km,2017.0,,,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
22808 Km,2018.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
7312 Km,2018.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
3550 Km,2022.0,,3000 cc,,,Diesel,Automatic,Unknown,,,5,AutoBox Motors
33000km Km,2018.0,,2800 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
39000-kms Km,2018.0,,3600 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
18700km Km,2021.0,,3300 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
44000kms Km,2019.0,,2000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
125000kms Km,2017.0,,3000 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
8700kms Km,2019.0,,3000 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
128000 Km,2017.0,,4700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
48000kms Km,2017.0,,2700 cc,,,Petrol,Automatic,Unknown,,,4.5,AutoBox Motors
257kms Km,2021.0,,3300 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
7300 Km,2022.0,,2000 cc,,,Diesel,Automatic,Unknown,,,5,AutoBox Motors
2500 Km,2023.0,,2000 cc,,,Diesel,Automatic,Unknown,,,5,AutoBox Motors
57000kms Km,2017.0,,1500 cc,,,Petrol Hybrid,Automatic,Unknown,,,4.5,AutoBox Motors
36800 Km,2018.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
54300 Km,2018.0,,2400 cc,,,Diesel,Automatic,Unknown,,,4.5,AutoBox Motors
