mileage,year_of_production,horse_power,engine_size,seats,price_ksh,fuel_type,transmission,car_name,body_type,annual_insurance,condition,source
32000,2018,252.0,2000.0,,4766000,Petrol,Automatic,Audi Q5,Automobile,190640.0,Excellent,Kai & Karo
68000,2020,173.0,2200.0,,4599999,Diesel,Automatic,Mazda CX5,Automobile,184000.0,Excellent,Kai & Karo
99000,2017,114.0,1600.0,,2100000,Petrol,Automatic,Subaru Impreza,Automobile,84000.0,Excellent,Kai & Karo
68000,2018,354.0,3000.0,,7299999,Petrol,Automatic,Audi SQ5,Automobile,300000.0,Excellent,Kai & Karo
65000,2017,148.0,2000.0,,1833000,Petrol,Automatic,Mazda Premacy,Automobile,73320.0,Excellent,Kai & Karo
207000,2012,190.0,2400.0,,1699999,Petrol,Automatic,Honda CRV,Automobile,68000.0,Very Good,Kai & Karo
121000,2015,110.0,1500.0,,1779999,Petrol,Automatic,Mazda Axela,Automobile,71200.0,Very Good,Kai & Karo
280000,2000,100.0,1500.0,,449999,Petrol,Automatic,Toyota Qualis,Automobile,18000.0,Very Good,Kai & Karo
80000,2011,160.0,1800.0,,1099999,Petrol,Automatic,Volkswagen Passat,Automobile,44000.0,Very Good,Kai & Karo
150000,2014,101.0,1500.0,,999999,Petrol,Automatic,Toyota Porte,Automobile,40000.0,Very Good,Kai & Karo
130000,2011,155.0,2000.0,,1599999,Petrol,Automatic,Subaru Forester,Automobile,64000.0,Very Good,Kai & Karo
38000,2017,105.0,1500.0,,2253000,Petrol,Automatic,Mazda Axela,Automobile,90120.0,Excellent,Kai & Karo
73000,2017,150.0,1400.0,,2249999,Petrol,Automatic,Volkswagen Golf TSI,Automobile,90000.0,Excellent,Kai & Karo
39000,2021,591.0,4000.0,,25200000,Petrol,Automatic,Audi RSQ8,Automobile,1008000.0,Excellent,Kai & Karo
65000,2018,276.0,2000.0,,4596000,Petrol,Automatic,Volkswagen Scirocco,Automobile,183840.0,Excellent,Kai & Karo
40000,2017,122.0,1600.0,,2499999,Petrol,Automatic,Mercedes Benc A180,Automobile,100000.0,Excellent,Kai & Karo
72000,2017,184.0,2000.0,,4350000,Petrol,Automatic,Mercedes Benz E200,Automobile,174000.0,Excellent,Kai & Karo
114000,2016,136.0,1500.0,,3399999,Petrol,Automatic,Mini Cooper,Automobile,136000.0,Excellent,Kai & Karo
130000,2017,163.0,2700.0,,4749999,Petrol,Automatic,Toyota Landcruiser Prado,Automobile,190000.0,Very Good,Kai & Karo
50000,2019,250.0,2000.0,,5780000,Petrol,Automatic,Volvo XC60,Automobile,231200.0,Excellent,Kai & Karo
54000,2019,334.0,3000.0,,7227000,Petrol,Automatic,Audi A6,Automobile,289080.0,Excellent,Kai & Karo
36000,2017,220.0,2000.0,,3580000,Petrol,Automatic,Volkswagen Golf GTI,Automobile,143200.0,Excellent,Kai & Karo
2000,2022,434.0,2900.0,,17199000,Petrol,Automatic,Porsche Cayenne S,Automobile,687960.0,Excellent,Kai & Karo
70000,2017,252.0,2000.0,,4585000,Petrol,Automatic,Audi Q5,Automobile,183400.0,Excellent,Kai & Karo
81000,2019,330.0,2900.0,,11990000,Diesel,Automatic,Mercedes Benz GLE 400d,Automobile,479600.0,Excellent,Kai & Karo
10000,2019,362.0,3000.0,,9674000,Petrol,Automatic,Mercedes Benz GLC 63,Automobile,386960.0,Excellent,Kai & Karo
68000,2017,181.0,2000.0,,4230000,Diesel,Automatic,BMW 523d,Automobile,169200.0,Excellent,Kai & Karo
37000,2017,255.0,3000.0,,8499999,Diesel,Automatic,Landrover Discovery V,Automobile,340000.0,,Kai & Karo
51000,2019,250.0,2000.0,,6399999,Petrol,Automatic,Volvo XC60,Automobile,256000.0,Excellent,Kai & Karo
125000,2017,155.0,2000.0,,2299999,Petrol,Automatic,Nissan Xtrail,Automobile,109600.0,Very Good,Kai & Karo
23000,2021,250.0,3000.0,,20800000,Petrol,Automatic,Range Rover Vogue,Automobile,832000.0,Excellent,Kai & Karo
79000,2018,237.0,2000.0,,4999999,Petrol,Automatic,Range Rover Evoque,Automobile,200000.0,Excellent,Kai & Karo
108000,2018,237.0,2000.0,,5699999,Petrol,Automatic,Landrover Discovery Sport,Automobile,227960.0,Excellent,Kai & Karo
277000,2010,201.0,1800.0,,2099999,Petrol,Automatic,Mercedes Benz E250,Automobile,84000.0,Very Good,Kai & Karo
105000,2017,168.0,1600.0,,2490000,Petrol,Automatic,Subaru Levorg,Automobile,99600.0,Excellent,Kai & Karo
54000,2017,173.0,2200.0,,3320000,Diesel,Automatic,Mazda CX5,Automobile,132800.0,Excellent,Kai & Karo
68000,2017,235.0,2000.0,,4256000,Petrol,Automatic,Lexus NX200T,Automobile,170240.0,Excellent,Kai & Karo
5000,2023,409.0,3500.0,,25071000,Petrol,Automatic,Lexus LX 600,Automobile,1002840.0,Excellent,Kai & Karo
62000,2018,383.0,5700.0,,13450000,Petrol,Automatic,Lexus LX 570,Automobile,538000.0,Excellent,Kai & Karo
122000,2017,166.0,2000.0,,3699999,Petrol Hybrid,Automatic,Mitsubishi Outlander,Automobile,148000.0,Excellent,Kai & Karo
41000,2020,220.0,2000.0,,4399999,Petrol,Automatic,Volkswagen Tiguan,Automobile,176000.0,Very Good,Kai & Karo
118000,2018,94.0,1300.0,,1499999,Petrol,Automatic,Mazda Demio,Automobile,60000.0,Excellent,Kai & Karo
67000,2018,450.0,4600.0,,10580000,Petrol,Automatic,Toyota Landcruiser,Automobile,423200.0,Excellent,Kai & Karo
68000,2022,300.0,3300.0,,17500000,Diesel,Automatic,Toyota Landcruiser,Automobile,700000.0,Excellent,Kai & Karo
36000,2021,550.0,5000.0,,21372000,Petrol,Automatic,Range Rover Sport,Automobile,1068600.0,Excellent,Kai & Karo
55000,2017,164.0,2700.0,,6430000,Petrol,Automatic,Toyota Landcruiser Prado,Automobile,257200.0,Excellent,Kai & Karo
89000,2019,261.0,3000.0,,9203000,Diesel,Automatic,BMW X5,Automobile,368120.0,Excellent,Kai & Karo
12000,2018,567.0,5000.0,,19398000,Petrol,Automatic,Jaguar F type,Automobile,775920.0,Excellent,Kai & Karo
39000,2019,550.0,5000.0,,12800000,Petrol,Automatic,Jaguar F pace,Automobile,512000.0,Excellent,Kai & Karo
82000,2018,140.0,1800.0,,2303000,Petrol,Automatic,Toyota Premio,Automobile,92120.0,Excellent,Kai & Karo
45000,2018,250.0,3000.0,,15311000,Petrol,Automatic,Range Rover Vogue,Automobile,612440.0,Excellent,Kai & Karo
37000,2019,232.0,2000.0,,6600000,Petrol,Automatic,Volvo XC90,Automobile,264000.0,Excellent,Kai & Karo
72000,2017,232.0,2000.0,,6560000,Petrol,Automatic,Volvo XC90,Automobile,262400.0,Excellent,Kai & Karo
74000,2017,255.0,3000.0,,8444000,Petrol,Automatic,Mercedes Benz GLE 350d,Automobile,337760.0,Excellent,Kai & Karo
58000,2018,252.0,2000.0,,6030000,Petrol,Automatic,Audi Q7,Automobile,241200.0,Excellent,Kai & Karo
64000,2018,354.0,3000.0,,6420000,Petrol,Automatic,Audi SQ5,Automobile,256800.0,Excellent,Kai & Karo
61000,2018,174.0,1500.0,,3219000,Petrol,Automatic,Honda Civic,Automobile,128760.0,Excellent,Kai & Karo
94000,2017,597.0,4000.0,,8990000,Petrol,Automatic,Audi RS6,Automobile,359600.0,Excellent,Kai & Karo
50000,2018,190.0,2000.0,,4489000,Petrol,Automatic,Audi A4,Automobile,179560.0,Excellent,Kai & Karo
29000,2017,180.0,2000.0,,3289000,Petrol,Automatic,Audi Q3,Automobile,131560.0,Excellent,Kai & Karo
76000,2017,180.0,2500.0,,3840000,Petrol,Automatic,Toyota Alphard,Automobile,153600.0,Excellent,Kai & Karo
44000,2018,335.0,3000.0,,10800000,Petrol,Automatic,Range Rover Sport,Automobile,432000.0,Excellent,Kai & Karo
30000,2019,290.0,2000.0,,8900000,Petrol,Automatic,Landrover Discovery Sport,Automobile,356000.0,Excellent,Kai & Karo
27000,2020,626.0,6000.0,,33751300,Petrol,Automatic,Bentley Flying Spur,Automobile,1350052.0,Excellent,Kai & Karo
35000,2019,542.0,4000.0,,23300000,Petrol,Automatic,Bentley Bentayga,Automobile,932000.0,Excellent,Kai & Karo
32000,2017,542.0,4000.0,,18902000,Petrol,Automatic,Bentley Continental,Automobile,756080.0,Excellent,Kai & Karo
39000,2021,567.0,4400.0,,19400000,Petrol,Automatic,BMW X5m,Automobile,776000.0,Excellent,Kai & Karo
98000,2018,250.0,2000.0,,5750000,Petrol Hybrid,Automatic,Volvo XC60,Automobile,230000.0,Excellent,Kai & Karo
100000,2017,94.0,1300.0,,1379999,Petrol,Automatic,Mazda Demio,Automobile,55200.0,Excellent,Kai & Karo
120000,2017,185.0,2000.0,,2426080,Petrol Hybrid,Automatic,Nissan Xtrail,Automobile,97043.0,Excellent,Kai & Karo
122000,2016,155.0,2000.0,,2599999,Petrol,Automatic,Subaru Forester,Automobile,104000.0,Very Good,Kai & Karo
99000,2009,122.0,2500.0,,3499999,Diesel,Manual,Landrover Defender,Automobile,140000.0,Very Good,Kai & Karo
87000,2017,172.0,2500.0,,2649999,Petrol,Automatic,Subaru Legacy,Automobile,106000.0,Excellent,Kai & Karo
141000,2015,220.0,2000.0,,2399999,Petrol,Automatic,Volkswagen Golf GTI,Automobile,96000.0,Very Good,Kai & Karo
76000,2017,235.0,2000.0,,4399000,Petrol,Automatic,Lexus NX200T,Automobile,175960.0,Excellent,Kai & Karo
17000,2018,80.0,1200.0,,2099999,Petrol,Automatic,Peugeot 2008,Automobile,84000.0,Excellent,Kai & Karo
99000,2017,276.0,4000.0,,4600000,Petrol,Automatic,Toyota FJ Cruiser,Automobile,184000.0,Excellent,Kai & Karo
108000,2017,136.0,2000.0,,3380000,Petrol,Automatic,Toyota Hiace,Automobile,135200.0,Excellent,Kai & Karo
76000,2017,150.0,1800.0,,2280000,Petrol,Automatic,Toyota Wish,Automobile,91200.0,Excellent,Kai & Karo
67000,2017,150.0,2000.0,,5402000,Diesel,Automatic,Mercedes Benz E220d,Automobile,216080.0,Excellent,Kai & Karo
28000,2017,211.0,2000.0,,5780000,Petrol,Automatic,Mercedes Benz E250,Automobile,231200.0,Excellent,Kai & Karo
32000,2019,325.0,3000.0,,11468000,Petrol,Automatic,Porsche Panamera,Automobile,458720.0,Excellent,Kai & Karo
143000,2017,58.0,660.0,,869999,Petrol,Automatic,Honda N One,Automobile,34800.0,Excellent,Kai & Karo
181000,2012,175.0,2500.0,,1649999,Petrol,Automatic,Subaru Outback,Automobile,59200.0,Very Good,Kai & Karo
29000,2021,379.0,3000.0,,19840000,Petrol,Automatic,Porsche 911 Carrera,Automobile,793600.0,Excellent,Kai & Karo
79000,2020,221.0,2500.0,,4199999,Petrol Hybrid,Automatic,Toyota Crown,Automobile,184000.0,Very Good,Kai & Karo
38000,2019,520.0,4000.0,,15400000,Petrol,Automatic,Porsche Cayenne,Automobile,616000.0,Excellent,Kai & Karo
37000,2019,306.0,3000.0,,12955000,Diesel,Automatic,Range Rover Sport,Automobile,518200.0,Excellent,Kai & Karo
66000,2020,330.0,2900.0,,13320000,Diesel,Automatic,Mercedes Benz GLE 400d,Automobile,532800.0,Excellent,Kai & Karo
56000,2018,175.0,2018.0,,4100000,Petrol,Automatic,Subaru Outback,Automobile,164000.0,Excellent,Kai & Karo
43000,2019,627.0,4400.0,,10100000,Petrol,Automatic,BMW M5,Automobile,404000.0,Excellent,Kai & Karo
140000,2017,173.0,2200.0,,3579999,Diesel,Automatic,Mazda CX5,Automobile,143200.0,Excellent,Kai & Karo
30000,2018,105.0,1500.0,,2601000,Petrol,Automatic,Mazda Axela,Automobile,104040.0,Excellent,Kai & Karo
58000,2017,425.0,3000.0,,7100000,Petrol,Automatic,BMW M4,Automobile,284000.0,Excellent,Kai & Karo
24000,2017,220.0,2017.0,,3750000,Petrol,Automatic,Volkswagen Passat,Automobile,150000.0,Excellent,Kai & Karo
94000,2019,220.0,2000.0,,4150000,Petrol,Automatic,Volkswagen Tiguan,Automobile,166000.0,Excellent,Kai & Karo
19000,2017,109.0,1500.0,,1970000,Petrol,Automatic,Toyota Fielder,Automobile,78800.0,Excellent,Kai & Karo
21000,2017,99.0,1500.0,,1940000,Petrol Hybrid,Automatic,Toyota Fielder,Automobile,77600.0,Excellent,Kai & Karo
26000,2017,148.0,1400.0,,2399999,Petrol,Automatic,Volkswagen Golf,Automobile,95999.0,Excellent,Kai & Karo
22000,2017,155.0,2000.0,,3300000,Petrol,Automatic,Mazda CX5,Automobile,131999.0,Excellent,Kai & Karo
152000,2016,335.0,3000.0,,6999999,Petrol,Automatic,Landrover Discovery IV,Automobile,279999.0,Very Good,Kai & Karo
95000,2003,177.0,2600.0,,1649999,Petrol,Automatic,Mercedes Benz E240,Automobile,66000.0,Very Good,Kai & Karo
55000,2016,208.0,2000.0,,5799999,Petrol,Automatic,Mercedes Benz GLC 250,Automobile,220000.0,Excellent,Kai & Karo
180000,2007,181.0,1800.0,,1219999,Petrol,Automatic,Mercedes Benz C200,Automobile,54000.0,Very Good,Kai & Karo
67000,2019,190.0,2000.0,,4300000,Petrol,Automatic,Honda CRV,Automobile,172000.0,Excellent,Kai & Karo
24000,2017,181.0,2000.0,,2900000,Petrol,Automatic,BMW 320i,Automobile,116000.0,Excellent,Kai & Karo
83000,2017,150.0,1500.0,,2329000,Petrol,Automatic,BMW 118i,Automobile,93160.0,Excellent,Kai & Karo
56000,2018,255.0,3000.0,,9715000,Diesel,Automatic,Mercedes Benz GLS350d,Automobile,388600.0,Excellent,Kai & Karo
63000,2016,167.0,2700.0,,4849999,Petrol,Automatic,Toyota Landcruiser Prado,Automobile,192000.0,Very Good,Kai & Karo
33000,2019,340.0,3000.0,,13140000,Diesel,Automatic,BMW X7,Automobile,525600.0,Excellent,Kai & Karo
48000,2019,600.0,6000.0,,20800000,Petrol,Automatic,Bentley Bentayga,Automobile,832000.0,Excellent,Kai & Karo
37000,2018,155.0,2000.0,,3399000,Petrol,Automatic,Mazda CX5,Automobile,135960.0,Excellent,Kai & Karo
42000,2018,354.0,3000.0,,6670000,Petrol,Automatic,Audi SQ5,Automobile,266800.0,Excellent,Kai & Karo
68000,2017,150.0,1400.0,,2486000,Petrol,Automatic,Audi A3,Automobile,99440.0,Excellent,Kai & Karo
54000,2017,469.0,4000.0,,10390000,Petrol,Automatic,Mercedes Benz S560,Automobile,415600.0,Excellent,Kai & Karo
86000,2017,148.0,2000.0,,2149999,Petrol,Automatic,Subaru Impreza,Automobile,86000.0,Excellent,Kai & Karo
160000,2013,156.0,2000.0,,1179999,Petrol,Automatic,Honda Stream,Automobile,47200.0,Very Good,Kai & Karo
17000,2022,330.0,2900.0,,17265550,Diesel,Automatic,Mercedes Benz GLE 400d,Automobile,690600.0,Excellent,Kai & Karo
113000,2017,110.0,1200.0,,1479999,Petrol Hybrid,Automatic,Nissan Note,Automobile,59200.0,Excellent,Kai & Karo
60000,2016,94.0,1300.0,,1180000,Petrol,Automatic,Mazda Demio,Automobile,47200.0,Very Good,Kai & Karo
67000,2018,137.0,1800.0,,2861200,Petrol,Automatic,Mitsubishi RVR,Automobile,114440.0,Excellent,Kai & Karo
130000,2017,108.0,1500.0,,1379999,Diesel,Automatic,Mazda Demio,Automobile,55200.0,Excellent,Kai & Karo
20000,2017,577.0,5500.0,,13890000,Petrol,Automatic,Mercedes Benz GLE,Automobile,555600.0,Excellent,Kai & Karo
38000,2017,255.0,3000.0,,6595000,Diesel,Automatic,BMW X5,Automobile,263800.0,Excellent,Kai & Karo
69000,2017,333.0,3000.0,,4820000,Petrol,Automatic,Audi A7,Automobile,192800.0,Excellent,Kai & Karo
73000,2017,130.0,1500.0,,2649999,Petrol Hybrid,Automatic,Honda Vezel,Automobile,106000.0,Excellent,Kai & Karo
78000,2017,280.0,2500.0,,3873000,Petrol,Automatic,Toyota Vellfire,Automobile,154920.0,Excellent,Kai & Karo
32000,2017,122.0,1600.0,,3880000,Petrol,Automatic,Mercedes Benz CLA 180,Automobile,155200.0,Excellent,Kai & Karo
79000,2017,154.0,2000.0,,2695000,Petrol,Automatic,Toyota Voxy,Automobile,107800.0,Excellent,Kai & Karo
3000,2022,340.0,3000.0,,15489000,Petrol,Automatic,Porsche Cayenne,Automobile,619560.0,Excellent,Kai & Karo
88000,2017,122.0,1600.0,,3028000,Petrol,Automatic,Mercedes Benz A180,Automobile,121120.0,Excellent,Kai & Karo
32000,2017,560.0,4400.0,,10500000,Petrol,Automatic,BMW M6,Automobile,420000.0,Excellent,Kai & Karo
101000,2019,252.0,2000.0,,5842000,Petrol,Automatic,Audi Q5,Automobile,233680.0,Excellent,Kai & Karo
37000,2018,617.0,4400.0,,11600000,Petrol,Automatic,BMW X6M,Automobile,464000.0,Excellent,Kai & Karo
45000,2018,333.0,3000.0,,7180000,Petrol,Automatic,Audi Q7,Automobile,287200.0,Excellent,Kai & Karo
39000,2017,122.0,1600.0,,2186000,Petrol,Automatic,Mercedes Benz B180,Automobile,87440.0,Excellent,Kai & Karo
46000,2017,78.0,1200.0,,1261000,Petrol,Automatic,Mitsubishi Mirage,Automobile,50440.0,Excellent,Kai & Karo
53000,2017,128.0,1200.0,,1381000,Petrol,Automatic,Peugeot 208,Automobile,55240.0,Excellent,Kai & Karo
55000,2019,707.0,6200.0,,20210000,Petrol,Automatic,Jeep Grand Cherokee Trackhawk,Automobile,808400.0,Excellent,Kai & Karo
104000,2014,197.0,3200.0,,3199999,Diesel,Automatic,Ford Ranger,Automobile,140000.0,Very Good,Kai & Karo
44000,2017,125.0,1400.0,,2199999,Petrol,Automatic,Volkswagen Golf,Automobile,88000.0,Excellent,Kai & Karo
160000,2014,109.0,1500.0,,1349999,Petrol,Automatic,Toyota Axio,Automobile,54000.0,Very Good,Kai & Karo
74000,2017,567.0,4400.0,,8685000,Petrol,Automatic,BMW X6M,Automobile,347400.0,Excellent,Kai & Karo
51000,2017,100.0,1500.0,,1845000,Petrol Hybrid,Automatic,Toyota Corolla Fielder,Automobile,73800.0,Excellent,Kai & Karo
338000,2015,130.0,4000.0,,2349999,Petrol,Manual,Hino Dutro,Automobile,94000.0,Very Good,Kai & Karo
24000,2018,362.0,3000.0,,8980000,Petrol,Automatic,MERCEDES BENZ C43 CABRIOLET,Automobile,359200.0,Excellent,Kai & Karo
28000,2017,245.0,2000.0,,3510000,Petrol,Automatic,VOLKSWAGEN GOLF GTI MK7.5,Automobile,140400.0,Excellent,Kai & Karo
68000,2017,137.0,1500.0,,2690000,Petrol Hybrid,Automatic,HONDA VEZEL HYBRID,Automobile,107600.0,Excellent,Kai & Karo
78000,2017,103.0,1500.0,,2265000,Petrol,Automatic,MAZDA CX-3 XD-L,Automobile,90600.0,Excellent,Kai & Karo
38000,2018,148.0,1400.0,,3830000,Petrol,Automatic,VOLKSWAGEN TIGUAN,Automobile,153200.0,Excellent,Kai & Karo
114000,2017,46.0,660.0,,869999,Petrol,Automatic,Nissan Dayz,Automobile,34800.0,Excellent,Kai & Karo
72000,2017,252.0,2000.0,,5120000,Petrol,Automatic,AUDI A5 CABRIOLET,Automobile,204800.0,Excellent,Kai & Karo
18000,2017,109.0,1500.0,,2100000,Petrol,Automatic,TOYOTA AURIS,Automobile,84000.0,Excellent,Kai & Karo
48000,2017,150.0,1400.0,,2486000,Petrol,Automatic,AUDI A3,Automobile,99440.0,Excellent,Kai & Karo
315000,2001,140.0,2000.0,,539999,Petrol,Manual,Volkswagen Passat,Automobile,23200.0,Very Good,Kai & Karo
78625,2017,354.0,3000.0,,5999999,Petrol,Automatic,AUDI S5 SPORTBACK,Automobile,240000.0,Excellent,Kai & Karo
43000,2018,147.0,,,2167000,Electric,Automatic,NISSAN LEAF S,Automobile,86680.0,Excellent,Kai & Karo
40000,2019,383.0,5700.0,,14300000,Petrol,Automatic,LEXUS LX 570,Automobile,572000.0,Excellent,Kai & Karo
65000,2018,185.0,2500.0,,3448000,Petrol,Automatic,MAZDA CX-5,Automobile,137920.0,Excellent,Kai & Karo
29000,2019,148.0,1500.0,,7250000,Petrol,Automatic,VOLKSWAGEN TIGUAN ALLSPACE,Automobile,290000.0,Excellent,Kai & Karo
38000,2018,306.0,3000.0,,13855280,Diesel,Automatic,RANGE ROVER SPORT AUTOBIOGRAPHY,Automobile,569211.0,Excellent,Kai & Karo
152000,2008,198.0,2000.0,,1649999,Petrol,Automatic,Volkswagen Tiguan,Automobile,66000.0,Very Good,Kai & Karo
138000,2012,240.0,2000.0,,1549999,Petrol,Automatic,Volvo XC60,Automobile,62000.0,Very Good,Kai & Karo
49000,2018,265.0,3000.0,,7520000,Petrol,Automatic,BMW X5 XDrive35d,Automobile,300800.0,Excellent,Kai & Karo
30000,2018,175.0,2500.0,,4020000,Petrol,Automatic,SUBARU OUTBACK,Automobile,160800.0,Excellent,Kai & Karo
92000,2017,150.0,2000.0,,2923000,Petrol,Automatic,BMW X1 XDrive18dx,Automobile,116920.0,Excellent,Kai & Karo
41000,2017,340.0,3000.0,,7595000,Petrol,Automatic,JAGUAR XJ,Automobile,303800.0,Excellent,Kai & Karo
73000,2018,469.0,4000.0,,11591000,Petrol,Automatic,MERCEDES BENZ S560L,Automobile,463640.0,Excellent,Kai & Karo
50000,2018,250.0,3000.0,,11876700,Petrol,Automatic,RANGE ROVER SPORT SDV6,Automobile,475068.0,Excellent,Kai & Karo
25000,2017,318.0,4600.0,,10549999,Petrol,Automatic,TOYOTA LANDCRUISER ZX,Automobile,422000.0,Excellent,Kai & Karo
82000,2016,335.0,4400.0,,14999999,Diesel,Automatic,Range Rover Vogue Autobiography,Automobile,600000.0,Excellent,Kai & Karo
60000,2018,250.0,3000.0,,12497400,Diesel,Automatic,RANGE ROVER SPORT,Automobile,499896.0,Excellent,Kai & Karo
128000,2016,177.0,1800.0,,1999999,Petrol,Automatic,Volkswagen Alltrack,Automobile,80000.0,Excellent,Kai & Karo
53000,2014,340.0,3000.0,,8499999,Petrol,Automatic,Range Rover Vogue,Automobile,340000.0,Excellent,Kai & Karo
79000,2017,232.0,2000.0,,5679999,Petrol,Automatic,VOLVO XC90,Automobile,220200.0,Excellent,Kai & Karo
126000,2017,174.0,2200.0,,3499999,Diesel,Automatic,Mazda CX5,Automobile,140000.0,Excellent,Kai & Karo
126000,2016,174.0,2200.0,,2299999,Diesel,Automatic,Mazda Atenza,Automobile,92000.0,Excellent,Kai & Karo
95000,2015,135.0,1600.0,,1549999,Petrol,Automatic,Subaru Impreza,Automobile,62000.0,Very Good,Kai & Karo
285000,2002,103.0,1500.0,,449999,Petrol,Automatic,Toyota Carina,Automobile,18000.0,Very Good,Kai & Karo
75000,2017,396.0,3000.0,,9499999,Petrol,Automatic,Mercedes-Benz AMG GLE43,Automobile,380000.0,Excellent,Kai & Karo
27000,2017,134.0,1200.0,,2149999,Petrol,Automatic,Peugeot  2008,Automobile,86000.0,Excellent,Kai & Karo
232000,2009,94.0,1200.0,,549999,Petrol,Automatic,Suzuki Swift,Automobile,22000.0,Very Good,Kai & Karo
59000,2018,440.0,3600.0,,8356000,Petrol,Automatic,Porsche Cayenne GTS,Automobile,334240.0,Excellent,Kai & Karo
26000,2017,164.0,2200.0,,3479999,Diesel,Automatic,Mazda CX5,Automobile,139199.0,Excellent,Kai & Karo
79000,2019,188.0,3200.0,,6379999,Diesel,Automatic,Mitsubishi Pajero,Automobile,255199.0,Excellent,Kai & Karo
72000,2018,107.0,,,2040800,Electric,Automatic,Nissan Leaf,Automobile,81632.0,Excellent,Kai & Karo
24000,2018,354.0,3000.0,,5950000,Petrol,Automatic,Audi SQ5,Automobile,231639.0,Excellent,Kai & Karo
20000,2022,410.0,3500.0,,21799999,Petrol,Automatic,Lexus LX600,Automobile,871999.0,Excellent,Kai & Karo
73000,2017,597.0,4000.0,,9240200,Petrol,Automatic,Audi RS7,Automobile,369608.0,Excellent,Kai & Karo
48000,2017,220.0,2000.0,,4297000,Petrol,Automatic,Audi A6,Automobile,171880.0,Excellent,Kai & Karo
44000,2017,156.0,1600.0,,4280000,Petrol,Automatic,Mercedes-Benz C180,Automobile,171200.0,Excellent,Kai & Karo
75000,2017,296.0,2000.0,,3998000,Petrol,Automatic,Volkswagen Arteon,Automobile,159920.0,Excellent,Kai & Karo
56000,2017,396.0,3000.0,,7349999,Petrol,Automatic,Mercedes-Benz AMG E43,Automobile,294000.0,Excellent,Kai & Karo
69000,2017,175.0,2500.0,,3500400,Petrol,Automatic,Subaru Outback,Automobile,140016.0,Excellent,Kai & Karo
90000,2017,212.0,2000.0,,3489000,Petrol Hybrid,Automatic,Honda Accord,Automobile,139560.0,Excellent,Kai & Karo
79000,2017,105.0,1500.0,,1837000,Petrol,Automatic,Toyota Axio,Automobile,73480.0,Excellent,Kai & Karo
51000,2017,383.0,4600.0,,10749999,Petrol,Automatic,Toyota Landcruiser ZX,Automobile,430000.0,Excellent,Kai & Karo
72000,2017,167.0,2700.0,,5881999,Petrol,Automatic,Toyota Landcruiser Prado TXL,Automobile,235280.0,Excellent,Kai & Karo
32000,2017,120.0,1200.0,,2949999,Petrol,Automatic,Toyota CHR,Automobile,118000.0,,Kai & Karo
128000,2017,168.0,2500.0,,2480000,Petrol,Automatic,Toyota Estima,Automobile,99200.0,Excellent,Kai & Karo
64000,2017,155.0,2000.0,,3273999,Petrol,Automatic,Subaru Forester,Automobile,130960.0,Excellent,Kai & Karo
79000,2017,252.0,2000.0,,3624000,Petrol,Automatic,Audi A4,Automobile,144960.0,Excellent,Kai & Karo
97000,2017,205.0,2500.0,,2657000,Petrol,Automatic,Mark X,Automobile,106280.0,Excellent,Kai & Karo
49000,2017,156.0,1600.0,,3799999,Petrol,Automatic,Mercedes Benz C180,Automobile,152000.0,Excellent,Kai & Karo
64000,2018,255.0,3000.0,,7199999,Diesel,Automatic,Mercedes-Benz GLE350D,Automobile,288000.0,Excellent,Kai & Karo
47000,2018,166.0,2000.0,,3599999,Petrol Hybrid,Automatic,Mitsubishi Outlander,Automobile,144000.0,Excellent,Kai & Karo
70000,2017,195.0,2500.0,,4681000,Petrol Hybrid,Automatic,Lexus NX300H,Automobile,187240.0,Excellent,Kai & Karo
38000,2017,208.0,2000.0,,4649999,Petrol,Automatic,Mercedes Benz C250,Automobile,186000.0,Excellent,Kai & Karo
127000,2017,155.0,2000.0,,3649999,Petrol,Automatic,Toyota Harrier,Automobile,146000.0,Excellent,Kai & Karo
131000,2017,173.0,2200.0,,3299999,Diesel,Automatic,Mazda CX5,Automobile,132000.0,Excellent,Kai & Karo
265000,2003,150.0,2000.0,,679999,Petrol,Automatic,BMW 318i,Automobile,27200.0,Very Good,Kai & Karo
69000,2016,249.0,2000.0,,4099999,Petrol,Automatic,Audi A7,Automobile,164000.0,Excellent,Kai & Karo
60000,2016,575.0,5000.0,,13499999,Petrol,Automatic,Range Rover Sport SVR,Automobile,540000.0,Very Good,Kai & Karo
32000,2012,400.0,4400.0,,2999999,Petrol,Automatic,BMW 550i,Automobile,120000.0,Excellent,Kai & Karo
75000,2017,155.0,2000.0,,1815999,Petrol,Automatic,Toyota Isis,Automobile,72640.0,Excellent,Kai & Karo
74000,2017,617.0,4400.0,,8499999,Petrol,Automatic,BMW X6M COMPETITION,Automobile,340000.0,Excellent,Kai & Karo
80000,2018,174.0,2800.0,,6666800,Diesel,Automatic,Toyota Landcruiser Prado TX-L,Automobile,266672.0,Excellent,Kai & Karo
96000,2017,94.0,1200.0,,1222000,Petrol,Automatic,Suzuki Swift,Automobile,48880.0,Excellent,Kai & Karo
78000,2017,173.0,2200.0,,2349999,Diesel,Automatic,Mazda Axela,Automobile,94000.0,Excellent,Kai & Karo
130000,2017,155.0,2000.0,,2529999,Petrol,Automatic,Toyota Noah,Automobile,102000.0,Excellent,Kai & Karo
